id,listing_url,scrape_id,last_scraped,name,experiences_offered,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
21537020,https://www.airbnb.com/rooms/21537020,2.02003E+13,3/23/20,Cita’s comfy corner,none,Felicita,10/26/17,"Jersey City, New Jersey, United States",N/A,N/A,100%,f,https://a0.muscache.com/im/pictures/user/a6b2c786-575d-4eee-8ec9-a2e5196b4edc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a6b2c786-575d-4eee-8ec9-a2e5196b4edc.jpg?aki_policy=profile_x_medium,,2,2,"['phone', 'reviews']",t,f,"Jersey City, NJ, United States",,Ward F (councilmember Jermaine D. Robinson),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.72155,-74.0498,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private entrance""}",,$100.00 ,,,,,1,$0.00 ,1,4,1,1,4,4,1,4,4 months ago,t,0,0,20,295,3/23/20,26,2,11/3/17,11/30/19,97,10,9,10,10,10,9,f,,"{""New Jersey State"","" Jersey City""}",t,f,flexible,f,f,1,1,0,0,0.89
21547020,https://www.airbnb.com/rooms/21547020,2.02003E+13,3/23/20,Modern apartment by Liberty State Park,none,Amar,4/22/15,"Jersey City, New Jersey, United States",within an hour,100%,75%,f,https://a0.muscache.com/im/pictures/user/de524787-4675-4489-b222-d9dbc94997ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/de524787-4675-4489-b222-d9dbc94997ed.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,f,"Jersey City, NJ, United States",,Ward F (councilmember Jermaine D. Robinson),,Jersey City,NJ,7304,New York,"Jersey City, NJ",US,United States,40.71005,-74.06094,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""Private living room"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Paid parking on premises""}",,$90.00 ,,,,$40.00 ,1,$0.00 ,5,60,5,10,60,60,6.4,60,5 weeks ago,t,0,0,0,0,3/23/20,16,2,12/2/17,7/30/19,93,9,9,10,10,8,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,flexible,f,f,1,1,0,0,0.57
21570942,https://www.airbnb.com/rooms/21570942,2.02003E+13,3/23/20,Beautiful 1 Family Home 4BR/2BTH mins to NYC,none,Sammy,10/31/17,US,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/09c09022-e22d-4a65-b958-bc829c12587b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/09c09022-e22d-4a65-b958-bc829c12587b.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'government_id']",t,f,"Jersey City, NJ, United States",,Ward D (councilmember Michael Yun),,Jersey City,NJ,7307,New York,"Jersey City, NJ",US,United States,40.75139,-74.04687,t,House,Entire home/apt,12,2,4,6,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony""}",,$200.00 ,,,$250.00 ,$150.00 ,4,$25.00 ,2,1125,2,2,1125,1125,2,1125,5 weeks ago,t,30,60,84,171,3/23/20,104,36,11/6/17,1/27/20,99,10,10,10,10,10,10,f,,"{""New Jersey State"","" Jersey City""}",t,f,strict_14_with_grace_period,f,f,1,1,0,0,3.59
21580488,https://www.airbnb.com/rooms/21580488,2.02003E+13,3/23/20,"""TREEHOUSE LIVING"" in CHARMING & COZY 2 BR APT.",none,Roy & Nahid,1/3/16,"Jersey City, New Jersey, United States",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/67d79749-5f02-4737-a3a0-1f7f1ecd3bec.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/67d79749-5f02-4737-a3a0-1f7f1ecd3bec.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,f,"Jersey City, NJ, United States",,Ward C (councilmember Richard Boggiano),,Jersey City,NJ,7307,New York,"Jersey City, NJ",US,United States,40.74021,-74.04969,t,Condominium,Entire home/apt,7,1.5,2,4,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",,$125.00 ,,,$400.00 ,$60.00 ,2,$20.00 ,3,1125,3,3,1125,1125,3,1125,7 weeks ago,t,30,55,82,357,3/23/20,79,34,11/12/17,3/13/20,94,9,10,10,10,9,9,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,f,f,2,2,0,0,2.75
21596630,https://www.airbnb.com/rooms/21596630,2.02003E+13,3/23/20,Charming&Relaxing CLOSE to NYC feel like home apt.,none,Yesel,1/6/17,"North Bergen, New Jersey, United States",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/cf483820-239c-45fc-b150-f822af048cd5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cf483820-239c-45fc-b150-f822af048cd5.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"North Bergen, NJ, United States",,Ward D (councilmember Michael Yun),,North Bergen,NJ,7047,New York,"North Bergen, NJ",US,United States,40.75769,-74.04726,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Shower gel"",""Trash can""}",,$53.00 ,,,$0.00 ,$40.00 ,1,$0.00 ,2,7,2,2,7,7,2,7,a week ago,t,23,31,41,101,3/23/20,131,59,12/29/17,3/17/20,96,10,10,10,10,9,10,f,,"{""New Jersey State""}",t,f,strict_14_with_grace_period,f,f,1,1,0,0,4.82
21596787,https://www.airbnb.com/rooms/21596787,2.02003E+13,3/23/20,Garden Studio Minutes to Lower Manhattan,none,Melissa,2/12/16,"Jersey City, New Jersey, United States",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/f0c416cf-97a3-46f3-bfaf-60abf97d3cc0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f0c416cf-97a3-46f3-bfaf-60abf97d3cc0.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.71367,-74.03794,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard""}",,$100.00 ,,,,,1,$0.00 ,1,31,1,5,1125,1125,3.5,1125,5 days ago,t,26,27,28,191,3/23/20,165,56,11/8/17,3/8/20,99,10,10,10,10,10,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,f,f,2,2,0,0,5.71
21597327,https://www.airbnb.com/rooms/21597327,2.02003E+13,3/23/20,"Excellent Manhattan Views,Brand New Modern Building,Golf Simulation-33QC",none,Zen,6/20/17,"New York, New York, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/d5f2335d-349d-4fe3-9d38-57935f49d26f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d5f2335d-349d-4fe3-9d38-57935f49d26f.jpg?aki_policy=profile_x_medium,,88,88,"['email', 'phone', 'google', 'reviews']",t,t,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7310,New York,"Jersey City, NJ",US,United States,40.72248,-74.03671,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Doorman,Gym,Elevator,""Free street parking"",""Hot tub"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Private living room"",""Private entrance"",""Children’s books and toys"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",Oven,Stove,""BBQ grill"",""Long term stays allowed"",Other}",,$200.00 ,,,$250.00 ,$125.00 ,4,$0.00 ,1,365,1,5,1,365,2.1,149,4 days ago,t,30,60,90,355,3/23/20,9,7,8/30/18,2/27/20,96,10,9,10,9,10,10,f,,"{""New Jersey State"","" Jersey City""}",t,f,strict_14_with_grace_period,f,f,88,87,0,0,0.47
21606453,https://www.airbnb.com/rooms/21606453,2.02003E+13,3/23/20,#8 Luxury 3BR Apt WTC view Mins to NYC Times SQ,none,Judy&Kevin,2/27/12,"Jersey City, New Jersey, United States",within an hour,98%,98%,f,https://a0.muscache.com/im/users/1821367/profile_pic/1330393526/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1821367/profile_pic/1330393526/original.jpg?aki_policy=profile_x_medium,The Heights,25,25,"['email', 'phone', 'reviews', 'kba']",t,t,"Jersey City, NJ, United States",,Ward C (councilmember Richard Boggiano),,Jersey City,NJ,7307,New York,"Jersey City, NJ",US,United States,40.74207,-74.05105,t,Apartment,Entire home/apt,12,1.5,3,8,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water""}",,$139.00 ,,,$300.00 ,$90.00 ,5,$15.00 ,2,28,2,2,1125,1125,2,1125,5 days ago,t,7,7,7,7,3/23/20,102,32,11/14/17,2/3/20,80,8,7,9,9,9,8,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,t,t,25,19,6,0,3.55
21608958,https://www.airbnb.com/rooms/21608958,2.02003E+13,3/23/20,"NEW! Hip and Cozy 3BR Duplex for 10, 20mins to NYC",none,Arseny,10/10/17,"New York, New York, United States",within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/274542f2-4ce7-4597-9841-17280372259b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/274542f2-4ce7-4597-9841-17280372259b.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Jersey City, NJ, United States",,Ward B (councilmember Mira Prinz-Arey),,Jersey City,NJ,7304,New York,"Jersey City, NJ",US,United States,40.72387,-74.07042,f,Apartment,Entire home/apt,10,2,3,6,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",Bathtub,""Window guards"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",,$103.00 ,,,$0.00 ,$99.00 ,6,$10.00 ,2,180,2,2,180,180,2,180,a week ago,t,30,55,85,175,3/23/20,58,36,2/22/18,3/8/20,91,9,9,10,9,9,9,f,,"{""New Jersey State"","" Jersey City""}",t,f,moderate,f,f,3,3,0,0,2.29
21608988,https://www.airbnb.com/rooms/21608988,2.02003E+13,3/23/20,✨15 MINUTES TO NYC! LOVELY 2 BEDROOM- SLEEPS 6!✨,none,Michael,8/29/16,"New York, New York, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/189728df-459a-4177-bfab-a301dfdf5a8f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/189728df-459a-4177-bfab-a301dfdf5a8f.jpg?aki_policy=profile_x_medium,Hell's Kitchen,3,3,"['phone', 'facebook', 'google', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.72202,-74.04474,t,Apartment,Entire home/apt,6,1,2,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",,$129.00 ,,,$300.00 ,$100.00 ,4,$20.00 ,1,1125,1,3,1125,1125,2.7,1125,today,t,6,6,6,6,3/23/20,103,39,11/4/17,3/11/20,92,9,9,10,10,10,9,f,,"{""New Jersey State"","" Jersey City""}",t,f,strict_14_with_grace_period,f,f,1,1,0,0,3.55
21609413,https://www.airbnb.com/rooms/21609413,2.02003E+13,3/23/20,NEW- Great Private Room Near NYC #3,none,Mar,7/5/16,"Jersey City, New Jersey, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/0f920657-ef27-4256-9545-04b4bca75ae3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0f920657-ef27-4256-9545-04b4bca75ae3.jpg?aki_policy=profile_x_medium,,8,8,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",t,t,"Jersey City, NJ, United States",,Ward C (councilmember Richard Boggiano),,Jersey City,NJ,7307,New York,"Jersey City, NJ",US,United States,40.73781,-74.05159,f,House,Private room,4,2,1,2,Real Bed,"{Wifi,Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$50.00 ,,,$350.00 ,$35.00 ,1,$13.00 ,1,15,1,1,1125,1125,1,1125,1 week ago,t,22,39,62,152,3/23/20,71,31,11/19/17,2/18/20,94,9,9,10,10,9,9,f,,"{""New Jersey State"","" Jersey City""}",t,f,strict_14_with_grace_period,f,f,5,0,5,0,2.49
21625954,https://www.airbnb.com/rooms/21625954,2.02003E+13,3/23/20,LUXURIOUS LOFT 2 bed 2 bath*15 minutes NYC,none,Copper-Club,11/4/17,US,within an hour,100%,99%,f,https://z0.muscache.cn/im/pictures/user/9c30b443-277f-40dc-a9ad-af8149edee3d.jpg?aki_policy=profile_small,https://z0.muscache.cn/im/pictures/user/9c30b443-277f-40dc-a9ad-af8149edee3d.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Jersey City, NJ, United States",,Ward F (councilmember Jermaine D. Robinson),,Jersey City,NJ,7304,New York,"Jersey City, NJ",US,United States,40.71194,-74.06098,f,Apartment,Entire home/apt,7,2,2,3,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Bathtub,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,$120.00 ,,,$300.00 ,$45.00 ,4,$20.00 ,2,1125,2,2,1125,1125,2,1125,a week ago,t,30,60,90,365,3/23/20,157,48,11/11/17,1/2/20,95,10,9,9,10,9,10,f,,"{""New Jersey State"","" Jersey City""}",f,f,flexible,f,f,3,3,0,0,5.45
21640444,https://www.airbnb.com/rooms/21640444,2.02003E+13,3/23/20,"AT Sweet Spot, Mins to NYC, 2 Full Bedrooms",none,Viktoria,10/9/11,"Jersey City, New Jersey, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/users/1267651/profile_pic/1396653947/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1267651/profile_pic/1396653947/original.jpg?aki_policy=profile_x_medium,,13,13,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.7237,-74.05024,t,Apartment,Entire home/apt,9,1,2,6,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$65.00 ,,,$0.00 ,$135.00 ,5,$25.00 ,3,28,3,3,4,28,3,27.7,a week ago,t,19,38,68,68,3/23/20,24,11,12/11/17,2/19/20,92,9,9,9,10,10,9,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,f,f,7,7,0,0,0.86
21645526,https://www.airbnb.com/rooms/21645526,2.02003E+13,3/23/20,The Webster,none,Emily,6/27/17,"Jersey City, New Jersey, United States",a few days or more,0%,100%,t,https://a0.muscache.com/im/pictures/user/1cffbdd6-6f7e-47fe-9932-d6d51ef785f3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1cffbdd6-6f7e-47fe-9932-d6d51ef785f3.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Jersey City, NJ, United States",,Ward D (councilmember Michael Yun),,Jersey City,NJ,7307,New York,"Jersey City, NJ",US,United States,40.74564,-74.04415,t,Condominium,Entire home/apt,6,1,2,3,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",Bathtub,""Babysitter recommendations"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",,$108.00 ,,,$0.00 ,$42.00 ,1,$0.00 ,1,22,1,1,22,22,1,22,6 weeks ago,t,0,0,0,0,3/23/20,161,67,11/19/17,1/3/20,96,10,9,10,10,9,9,f,,"{""New Jersey State"","" Jersey City""}",t,f,moderate,f,f,1,1,0,0,5.64
21648655,https://www.airbnb.com/rooms/21648655,2.02003E+13,3/23/20,Manhattan inspired 2bed 2bath*15 min to WTC,none,Copper-Club,11/4/17,US,within an hour,100%,99%,f,https://z0.muscache.cn/im/pictures/user/9c30b443-277f-40dc-a9ad-af8149edee3d.jpg?aki_policy=profile_small,https://z0.muscache.cn/im/pictures/user/9c30b443-277f-40dc-a9ad-af8149edee3d.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Jersey City, NJ, United States",,Ward F (councilmember Jermaine D. Robinson),,Jersey City,NJ,7304,New York,"Jersey City, NJ",US,United States,40.71208,-74.05927,f,Apartment,Entire home/apt,5,2,2,4,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,Bathtub,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,$107.00 ,,,$500.00 ,$45.00 ,4,$15.00 ,2,1125,2,2,1125,1125,2,1125,today,t,30,60,90,365,3/23/20,136,51,11/12/17,3/1/20,93,9,9,9,9,9,9,f,,"{""New Jersey State"","" Jersey City""}",t,f,strict_14_with_grace_period,f,f,3,3,0,0,4.73
21660023,https://www.airbnb.com/rooms/21660023,2.02003E+13,3/23/20,"AT Village Center, 2+ Bedrooms",none,Viktoria,10/9/11,"Jersey City, New Jersey, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/users/1267651/profile_pic/1396653947/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1267651/profile_pic/1396653947/original.jpg?aki_policy=profile_x_medium,,13,13,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,f,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.72341,-74.04347,t,Apartment,Entire home/apt,7,1,2,7,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",,$67.00 ,,,$0.00 ,$135.00 ,5,$0.00 ,3,28,3,3,4,28,3,26.9,a week ago,t,10,23,38,198,3/23/20,53,28,11/25/17,3/10/20,88,9,9,10,10,10,9,f,,"{""New Jersey State"","" Jersey City""}",f,f,strict_14_with_grace_period,f,f,7,7,0,0,1.87
21662082,https://www.airbnb.com/rooms/21662082,2.02003E+13,3/23/20,Dharma Jersey City Downtown 1 BR - Mahogany,none,Dharma,11/19/10,"New York, New York, United States",within a few hours,100%,46%,t,https://a0.muscache.com/im/pictures/user/8898b168-49f1-4bba-8907-bd77715db6ec.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8898b168-49f1-4bba-8907-bd77715db6ec.jpg?aki_policy=profile_x_medium,Brickell,154,154,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual', 'work_email']",t,f,"Jersey City, NJ, United States",,Ward E (councilmember James Solomon),,Jersey City,NJ,7302,New York,"Jersey City, NJ",US,United States,40.71444,-74.03454,t,Serviced apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises"",""Trash can""}",,$185.00 ,,,$200.00 ,$100.00 ,3,$0.00 ,4,30,4,4,1125,1125,4,1125,2 months ago,t,0,0,0,15,3/23/20,6,2,6/1/18,2/18/20,97,10,10,10,10,10,8,f,,"{""New Jersey State"","" Jersey City""}",t,f,moderate,f,f,23,23,0,0,0.27
